Part,Manufacturer,Part Number,Quantity,Price ($),Footprint (mm²),Description
Cvcc,MuRata,GRM188R71A225KE15D,1,0.02,4.68,Cap: 2.2 µF  Total Derated Cap: 2.2 µF  VDC: 10 V  ESR: 9 mΩ  Package: 0603  
Cboot,MuRata,GRM155R71A104KA01D,1,0.01,3,Cap: 100 nF  Total Derated Cap: 100 nF  VDC: 10 V  ESR: 1 mΩ  Package: 0402  
Cvdda,MuRata,GRM155R71A104KA01D,1,0.01,3,Cap: 100 nF  Total Derated Cap: 100 nF  VDC: 10 V  ESR: 1 mΩ  Package: 0402  
Cout,MuRata,GRM32ER61C476KE15L,4,0.17,14.7,Cap: 47 µF  Total Derated Cap: 130 µF  VDC: 16 V  ESR: 3.04 mΩ  Package: 1210  
Rpg,Vishay-Dale,CRCW0603100KFKEA,1,0.01,4.68,Resistance: 100 kΩ  Tolerance: 1.0%  Power: 100 mW  
L1,Coiltronics,HC3-5R6-R,1,6.88,873.6,L: 5.6 µH  DCR: 2.17 mΩ  IDC: 33.8 A  
M2,Texas Instruments,CSD18534Q5A,1,0.28,55.2,VdsMax: 60 V  IdsMax: 50 Amps  
Cin,TDK,CGA6M3X7S2A475K200AB,4,0.45,14.7,Cap: 4.7 µF  Total Derated Cap: 6.3 µF  VDC: 100 V  ESR: 4.24 mΩ  Package: 1210_220  
M1,Texas Instruments,CSD18534Q5A,1,0.28,55.2,VdsMax: 60 V  IdsMax: 50 Amps  
U1,Texas Instruments,LM5148RGYR,1,0.605,42.56,
Rt,Vishay-Dale,CRCW060353K6FKEA,1,0.01,4.68,Resistance: 53.6 kΩ  Tolerance: 1.0%  Power: 100 mW  
Rsense,Susumu Co Ltd,PRL1632-R009-F-T1,1,0.2,10.92,Resistance: 9 mΩ  Tolerance: 1.0%  Power: 1 W  
Rconfig,Vishay-Dale,CRCW060340K2FKEA,1,0.01,4.68,Resistance: 40.2 kΩ  Tolerance: 1.0%  Power: 100 mW  
Rvdda,Vishay-Dale,CRCW040224K3FKED,1,0.01,3,Resistance: 24.3 kΩ  Tolerance: 1.0%  Power: 63 mW  
Ccomp2,Samsung Electro-Mechanics,CL21C330JBANNNC,1,0.01,6.75,Cap: 33 pF  Total Derated Cap: 33 pF  VDC: 50 V  ESR: 0 Ω  Package: 0805  
Ccomp,TDK,CGA4C2C0G1H472J060AA,1,0.04,6.75,Cap: 4.7 nF  Total Derated Cap: 4.7 nF  VDC: 50 V  ESR: 0 Ω  Package: 0805  
Rcomp,Vishay-Dale,CRCW04024K32FKED,1,0.01,3,Resistance: 4.32 kΩ  Tolerance: 1.0%  Power: 63 mW  